Callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBu),Rx threshold (dBu)
CC,CC,127.661913,37.561088,4DEC,30,800,5000,5000,90,20,10,10,0,0,13.SPH,13.SPV,20,35
MU01,MU,127.786891,37.562078,4DEC,30,800,5000,5000,180,20,10,10,0,0,13.SPH,13.SPV,20,35
MU02,MU,127.788043,37.462946,4DEC,30,800,5000,5000,0,20,10,10,0,0,13.SPH,13.SPV,20,35
MU03,MU,127.664579,37.462336,4DEC,30,800,5000,5000,270,20,10,10,0,0,13.SPH,13.SPV,20,35
MU04,MU,127.540691,37.46051,4DEC,30,800,5000,5000,0,20,10,10,0,0,13.SPH,13.SPV,20,35
MU05,MU,127.538767,37.559268,4DEC,30,800,5000,5000,90,20,10,10,0,0,13.SPH,13.SPV,20,35
MU06,MU,127.538767,37.559268,4DEC,30,800,5000,5000,180,20,10,10,0,0,13.SPH,13.SPV,20,35
MU07,MU,127.661913,37.561088,4DEC,30,800,5000,5000,180,20,10,10,0,0,13.SPH,13.SPV,20,35
MU08,MU,127.661913,37.561088,4DEC,30,800,5000,5000,270,20,10,10,0,0,13.SPH,13.SPV,20,35
MU09,MU,127.786891,37.562078,4DEC,30,800,5000,5000,270,20,10,10,0,0,13.SPH,13.SPV,20,35
MU10,MU,127.788043,37.462946,4DEC,30,800,5000,5000,270,20,10,10,0,0,13.SPH,13.SPV,20,35
MU11,MU,127.664579,37.462336,4DEC,30,800,5000,5000,0,20,10,10,0,0,13.SPH,13.SPV,20,35
MU12,MU,127.664579,37.462336,4DEC,30,800,5000,5000,90,20,10,10,0,0,13.SPH,13.SPV,20,35
MU13,MU,127.540691,37.46051,4DEC,30,800,5000,5000,90,20,10,10,0,0,13.SPH,13.SPV,20,35
