Callsign,Address,HCTR 차량수,LCTR MLR,LCTR SLR,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),Tilt (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
sample1,중형부대,2,1,0,126.916831,38.00742,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample2,중형부대,2,1,0,127.053312,38.052879,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample3,중형부대,2,1,0,127.054479,38.09128,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample4,중형부대,2,1,0,126.976398,38.031864,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample5,중형부대,2,1,0,126.9322007,37.96010249,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample6,중형부대,2,1,0,127.300259,37.954382,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample7,중형부대,2,1,0,127.2731207,38.11665089,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample8,소형노드,2,1,1,127.0351949,37.9956943,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample9,소형노드,2,1,1,127.2581531,38.07542292,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample10,소형노드,2,1,1,126.9751001,37.95443305,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample11,소형노드,2,1,1,127.088571,38.049661,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample13,소형노드,2,1,1,127.2003889,38.0821108,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample14,대형부대,2,1,0,127.224297,37.946594,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample15,대형노드,4,1,0,127.178528,38.044741,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
