Callsign,Address,HCTR 차량수,LCTR MLR,LCTR SLR,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),Tilt (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
sample1,중형부대,2,1,0,126.947083,37.989739,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample2,중형부대,2,1,0,127.053312,38.05288,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample3,중형부대,2,1,0,127.054479,38.09128,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample4,중형부대,2,1,0,126.976398,38.031864,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample5,중형부대,2,1,0,126.930955,37.951892,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample6,중형부대,2,0,0,127.300259,37.954383,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample7,중형부대,2,1,0,127.273121,38.116651,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample8,소형노드,2,0,1,127.0351949,37.9956943,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample9,소형노드,2,1,1,127.258153,38.075423,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample10,소형노드,2,0,1,126.9751001,37.95443305,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample11,소형노드,2,0,1,127.076669,38.02955,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample12,대형노드,4,0,0,127.0944641,37.8682713,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample13,소형노드,2,1,1,127.200389,38.082112,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample14,대형부대,2,0,0,127.224297,37.946595,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample15,대형노드,4,0,0,127.178528,38.044742,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample16,대형노드,4,0,0,127.031935,37.956325,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample17,대형노드,4,0,0,127.247518,37.921629,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample18,대형노드,4,0,0,127.11985,37.820268,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample19,소형부대,0,0,1,127.288026,38.137517,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample20,소형부대,0,0,1,127.302817,38.128291,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample21,소형부대,0,0,1,127.255842,38.132365,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample22,소형부대,0,0,1,127.298853,38.106859,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample23,소형부대,0,0,1,127.2888,38.102019,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample24,소형부대,0,0,1,127.320762,38.110946,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample25,소형부대,0,0,1,127.301571,38.102348,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample26,소형부대,0,0,1,127.283584,38.109419,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample27,소형부대,0,0,1,127.288994,38.09319,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample28,소형부대,0,0,1,127.265867,38.097298,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample29,소형부대,0,0,1,127.258189,38.085873,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample30,소형부대,0,0,1,127.22607,38.093867,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample31,소형부대,0,0,1,127.221444,38.109821,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample32,소형부대,0,0,1,127.044552,38.034791,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample33,소형부대,0,0,1,127.068301,38.098024,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample34,소형부대,0,0,1,126.959122,38.036953,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample35,소형부대,0,0,1,126.884679,38.003387,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample36,소형부대,0,0,1,126.904793,37.947188,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
