Callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBu),Rx threshold (dBu)
c074123,MU,127.6306915,37.50581741,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c075413,MU,127.8155289,37.344841,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c132767,MU,127.8256226,37.67642593,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c151154,MU,128.0647278,37.4058342,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c347570,MU,127.596756,37.60852051,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c348296,MU,127.885498,37.49629974,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c388491,MU,127.7608261,37.20902252,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c468113,MU,128.0856476,37.51464844,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c475962,MU,128.1400757,37.37979889,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c507106,MU,127.9201813,37.59972763,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c518928,MU,127.8493881,37.21878433,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c536883,MU,128.0761566,37.2673378,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c647257,MU,127.9747238,37.38180542,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c731109,MU,127.8294525,37.6099472,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c844365,MU,127.5797806,37.47528076,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
CC,CC,127.8616943,37.41403198,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
