callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),Tilt (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
hctr1,대형노드,127.6383289,37.99380205,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,3
hctr2,대형노드,128.0927502,37.99209063,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,3
hctr3,소형노드,127.6083568,38.33485481,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,3
hctr4,소형노드,127.6070902,38.18207378,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,3
hctr5,소형노드,127.8382365,38.27434683,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
hctr6,소형노드,128.2372058,38.24272206,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
hctr7,소형노드,128.1643769,38.37462641,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
hctr8,대형부대,127.8602978,38.05077129,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
hctr9,중형부대,127.7242229,38.11582849,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
hctr10,중형부대,128.022952,38.08118328,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
hctr11,중형부대,127.774498,38.29856595,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
hctr12,중형부대,128.107437,38.30238962,4DEC,30,1429.5,5000,5000,0,50,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,3
