callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),Tilt (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
sample1,소형부대,126.897355,38.006079,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample2,중형부대,126.916831,38.00742,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample3,소형부대,127.036028,38.13109,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample4,소형부대,127.005162,38.102265,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample5,소형부대,127.024557,38.091283,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample6,소형부대,126.922185,37.99493,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample7,중형부대,127.035444,38.101802,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample8,소형부대,127.066607,38.074744,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample9,소형부대,127.049404,38.060501,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample10,중형부대,127.053312,38.052879,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
