Callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),Tilt (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
sample1,중형부대,126.916831,38.00742,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample2,중형부대,127.053312,38.052879,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample3,중형부대,127.054479,38.09128,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample4,중형부대,126.976398,38.031864,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample5,소형노드,127.0420096,37.96542115,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample6,소형노드,127.2426076,38.06140147,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample7,소형노드,126.987717,37.962213,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample8,중형부대,126.9322007,37.96010249,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample9,소형노드,127.088571,38.049661,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample10,대형부대,127.224297,37.946594,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample11,대형노드,127.178528,38.044741,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample12,대형노드,127.0276641,37.94506406,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample13,대형노드,127.247518,37.921629,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample14,대형노드,127.11985,37.820267,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample15,중형부대,127.300259,37.954382,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample16,소형노드,127.0944641,37.8682713,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample17,중형부대,127.2297819,38.1145804,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
