,부대명,그룹,경도,위도,좌표계,안테나 높이 (m),주파수 (MHz),송신대역폭 (kHz),수신대역폭 (kHz),방위각 (deg),출력 (W),송신 안테나 이득 (dB),수신 안테나 이득 (dB),송신 손실 (dB),수신 손실 (dB),수평 안테나 패턴,수직 안테나 패턴,커버리지 수신감도 (dBm),수신감도 (dBm),signal (category),기울기 (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
0,1MidCom,중형부대,126.946624,37.995055,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
1,2MidCom,중형부대,127.053312,38.05288,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
2,3MidCom,중형부대,127.054479,38.091281,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
3,4MidCom,중형부대,126.978945,38.026057,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
4,5MidCom,중형부대,126.930955,37.951892,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
5,6MidCom,중형부대,127.300259,37.954383,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
6,7MidCom,중형부대,127.273121,38.116651,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
7,1SmNode,소형노드,127.258153,38.075423,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
8,2SmNode,소형노드,127.088571,38.049662,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
9,3SmNode,소형노드,127.200389,38.082112,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
10,1BigCom,대형부대,127.224297,37.946595,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
11,1BigNode,대형노드,127.178528,38.044742,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
12,2BigNode,대형노드,127.040412,37.957494,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
13,3BigNode,대형노드,127.247518,37.921629,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
14,4BigNode,대형노드,127.11985,37.820268,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,nan,nan,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
