CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Plan,Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),nfd,Callsign,Address,Long,Lat,Azimuth (deg),Tilt (deg)
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,1,소형노드,127.258153,38.075423,15.85,-2.3
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,2,대형노드,127.247518,37.921629,51.61,-2.06
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,3,소형노드,127.088571,38.049663,327,1.69
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,4,소형노드,127.088571,38.049663,276.26,-0.82
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,5,대형노드,127.178528,38.044742,24.55,-3.32
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,6,대형노드,127.178528,38.044742,273.91,-3.02
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,7,소형노드,127.200389,38.082112,98.29,0.64
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,8,대형노드,127.247518,37.921629,323.46,-4.51
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,9,대형노드,127.247518,37.921629,224.9,-0.37
4DEC,10,1429.5,15000,15000,1,20,20,0.5,0.5,HCTR,HCTR.SPH,HCTR.SPV,-70,-70,2,B3N16,10,대형노드,127.178528,38.044742,155.94,-0.61
