Callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBu),Rx threshold (dBu)
CC,CC,128.574875,37.651914,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU01,MU,128.650085,37.716153,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU02,MU,128.679764,37.675137,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU03,MU,128.731506,37.665173,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU04,MU,128.70369,37.703319,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU05,MU,128.487701,37.635163,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU06,MU,128.458786,37.621331,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU07,MU,128.460358,37.592496,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU08,MU,128.555313,37.702134,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU09,MU,128.521622,37.718586,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU10,MU,128.519592,37.751747,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU11,MU,128.589874,37.605636,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
MU12,MU,128.599914,37.593409,4DEC,30,1429.5,5000,5000,0,1,0,0,0,0,,27.SPV,40,40
