From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9747.87;43.17;2.97;223.17;-2.97;0.0;0.0;143.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.29;74.66;1.89;254.66;-1.89;0.0;0.0;174.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;-3.3;-143.63;46.35;1;1429.5;V;13895.59;84.13;1.16;264.13;-1.16;0.0;0.0;173.6;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;-4.1;-144.47;42.41;1;1429.5;V;12712.82;63.56;1.24;243.56;-1.24;0.0;0.0;174.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;1.3;-139.00;26.40;1;1429.5;V;7913.31;256.70;0.97;76.70;-0.97;0.0;0.0;169.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;4.8;-135.50;36.00;1;1429.5;V;10792.10;251.97;1.14;71.97;-1.14;0.0;0.0;165.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;30.00;0.00;;11.0;-129.35;40.26;1;1429.5;V;12069.01;237.18;1.26;57.18;-1.26;0.0;0.0;159.3;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;39.4;-100.97;19.47;1;1429.5;V;5837.59;343.06;2.22;163.06;-2.22;0.0;0.0;131.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;55.9;-84.40;29.31;1;1429.5;V;8786.60;327.87;4.29;147.87;-4.29;0.0;0.0;114.4;LOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;11;128.519592;37.751747;MU10;MU;30.00;0.00;;-9.1;-149.40;40.40;1;1429.5;V;12113.00;336.53;2.51;156.53;-2.51;0.0;0.0;179.4;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;-2.4;-142.77;17.70;1;1429.5;V;5305.79;165.81;2.21;345.81;-2.21;0.0;0.0;172.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;26.4;-113.89;22.94;1;1429.5;V;6878.44;161.46;4.65;341.46;-4.65;0.0;0.0;143.9;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;14;128.524039;37.731755;NODE01;RE;30.00;0.00;;34.4;-105.96;33.21;1;1429.5;V;9957.20;333.43;4.38;153.43;-4.38;0.0;0.0;136.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;15;128.524266;37.731756;NODE02;RE;30.00;0.00;;42.6;-97.71;33.18;1;1429.5;V;9948.61;333.54;4.41;153.54;-4.41;0.0;0.0;127.7;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9748.46;223.17;-3.04;43.17;3.04;0.0;0.0;143.8;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.58;150.31;-2.07;330.31;2.07;0.0;0.0;109.9;LOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9142.11;128.42;-1.40;308.42;1.40;0.0;0.0;123.2;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4940.01;106.97;-2.64;286.97;2.64;0.0;0.0;137.5;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;30.5;-109.84;56.40;1;1429.5;V;16909.40;238.15;-1.32;58.15;1.32;0.0;0.0;139.8;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;48.8;-91.49;66.33;1;1429.5;V;19884.10;238.32;-0.90;58.32;0.90;0.0;0.0;121.5;LOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;24.3;-116.02;28.36;1;1429.5;V;8501.91;259.70;-1.94;79.70;1.94;0.0;0.0;146.0;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;53.7;-86.61;37.78;1;1429.5;V;11325.43;271.62;0.73;91.62;-0.73;0.0;0.0;116.6;LOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;11;128.519592;37.751747;MU10;MU;30.00;0.00;;12.6;-127.76;40.55;1;1429.5;V;12156.92;289.21;0.10;109.21;-0.10;0.0;0.0;157.8;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;3.5;-136.79;44.58;1;1429.5;V;13365.88;203.65;-1.35;23.65;1.35;0.0;0.0;166.8;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;23.9;-116.41;47.76;1;1429.5;V;14318.93;198.23;0.15;18.23;-0.15;0.0;0.0;146.4;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;14;128.524039;37.731755;NODE01;RE;30.00;0.00;;30.3;-110.00;37.51;1;1429.5;V;11244.54;279.11;1.26;99.11;-1.26;0.0;0.0;140.0;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;15;128.524266;37.731756;NODE02;RE;30.00;0.00;;32.7;-107.62;37.44;1;1429.5;V;11224.89;279.13;1.28;99.13;-1.28;0.0;0.0;137.6;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.66;254.66;-1.96;74.66;1.96;0.0;0.0;174.5;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.46;330.31;2.03;150.31;-2.03;0.0;0.0;109.9;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.64;103.80;-0.39;283.80;0.39;0.0;0.0;109.0;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.31;34.20;-0.59;214.20;0.59;0.0;0.0;107.1;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;6.9;-133.39;58.42;1;1429.5;V;17512.64;255.58;-0.66;75.58;0.66;0.0;0.0;163.4;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;19.3;-121.04;37.94;1;1429.5;V;11374.26;285.50;-0.52;105.50;0.52;0.0;0.0;151.0;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;51.4;-88.90;49.21;1;1429.5;V;14754.23;289.32;1.27;109.32;-1.27;0.0;0.0;118.9;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;11;128.519592;37.751747;MU10;MU;30.00;0.00;;5.0;-135.28;54.97;1;1429.5;V;16479.09;301.30;0.70;121.30;-0.70;0.0;0.0;165.3;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;-16.2;-156.49;36.90;1;1429.5;V;11061.62;226.03;-0.64;46.03;0.64;0.0;0.0;186.5;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;14.0;-126.31;38.31;1;1429.5;V;11484.80;218.07;1.14;38.07;-1.14;0.0;0.0;156.3;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;14;128.524039;37.731755;NODE01;RE;30.00;0.00;;30.3;-110.04;50.37;1;1429.5;V;15101.99;294.83;1.63;114.83;-1.63;0.0;0.0;140.0;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;15;128.524266;37.731756;NODE02;RE;30.00;0.00;;33.2;-107.17;50.31;1;1429.5;V;15083.97;294.87;1.65;114.87;-1.65;0.0;0.0;137.2;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;-3.3;-143.63;46.35;1;1429.5;V;13896.07;264.13;-1.25;84.13;1.25;0.0;0.0;173.6;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9141.87;308.42;1.34;128.42;-1.34;0.0;0.0;123.2;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.62;283.80;0.36;103.80;-0.36;0.0;0.0;109.0;LOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;61.0;-79.31;16.32;1;1429.5;V;4891.96;330.08;-0.10;150.08;0.10;0.0;0.0;109.3;LOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;9.3;-131.03;53.60;1;1429.5;V;16068.05;285.00;-0.28;105.00;0.28;0.0;0.0;161.0;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;49.0;-91.30;64.82;1;1429.5;V;19432.74;287.99;1.03;107.99;-1.03;0.0;0.0;121.3;LOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;-12.2;-152.53;47.15;1;1429.5;V;14134.83;242.35;-0.40;62.35;0.40;0.0;0.0;182.5;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;24.9;-115.45;46.97;1;1429.5;V;14081.25;235.77;1.04;55.77;-1.04;0.0;0.0;145.4;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;14;128.524039;37.731755;NODE01;RE;30.00;0.00;;19.8;-120.48;65.81;1;1429.5;V;19730.25;292.22;1.31;112.22;-1.31;0.0;0.0;150.5;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;15;128.524266;37.731756;NODE02;RE;30.00;0.00;;21.6;-118.68;65.75;1;1429.5;V;19711.83;292.24;1.32;112.24;-1.32;0.0;0.0;148.7;NLOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;-4.1;-144.46;42.41;1;1429.5;V;12713.25;243.56;-1.33;63.56;1.33;0.0;0.0;174.5;NLOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4939.88;286.97;2.61;106.97;-2.61;0.0;0.0;137.5;NLOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.29;214.20;0.56;34.20;-0.56;0.0;0.0;107.1;LOS;20.00
