From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.450897;37.440335;CC;CC;1.000000;30.00;0.00;;2;128.428040;37.520051;MU01;MU;30.00;0.00;;31.7;-108.67;30.29;1;1429.5;V;9079.61;347.53;1.98;167.53;-1.98;0.0;0.0;138.7;NLOS;20.00
1;128.450897;37.440335;CC;CC;1.000000;30.00;0.00;;3;128.375854;37.434417;MU02;MU;30.00;0.00;;12.5;-127.79;22.25;1;1429.5;V;6669.24;264.67;-0.59;84.67;0.59;0.0;0.0;157.8;NLOS;20.00
1;128.450897;37.440335;CC;CC;1.000000;30.00;0.00;;4;128.386261;37.351318;MU03;MU;30.00;0.00;;-9.5;-149.82;38.08;1;1429.5;V;11416.74;210.43;-1.65;30.43;1.65;0.0;0.0;179.8;NLOS;20.00
1;128.450897;37.440335;CC;CC;1.000000;30.00;0.00;;5;128.583359;37.373242;MU04;MU;30.00;0.00;;-22.0;-162.31;46.36;1;1429.5;V;13897.70;122.66;-0.32;302.66;0.32;0.0;0.0;192.3;NLOS;20.00
1;128.450897;37.440335;CC;CC;1.000000;30.00;0.00;;6;128.610489;37.499729;MU05;MU;30.00;0.00;;-19.3;-159.58;52.01;1;1429.5;V;15591.81;65.28;1.09;245.28;-1.09;0.0;0.0;189.6;NLOS;20.00
1;128.450897;37.440335;CC;CC;1.000000;30.00;0.00;;7;128.548309;37.427441;MU06;MU;30.00;0.00;;-18.6;-158.89;29.18;1;1429.5;V;8748.79;99.74;1.41;279.74;-1.41;0.0;0.0;188.9;NLOS;20.00
1;128.450897;37.440335;CC;CC;1.000000;30.00;0.00;;10;128.295212;37.435075;MU09;MU;30.00;0.00;;2.5;-137.78;45.99;1;1429.5;V;13788.51;268.01;-0.27;88.01;0.27;0.0;0.0;167.8;NLOS;20.00
2;128.428040;37.520051;MU01;MU;1.000000;30.00;0.00;;1;128.450897;37.440335;CC;CC;30.00;0.00;;31.7;-108.67;30.29;1;1429.5;V;9079.95;167.53;-2.04;347.53;2.04;0.0;0.0;138.7;NLOS;20.00
2;128.428040;37.520051;MU01;MU;1.000000;30.00;0.00;;3;128.375854;37.434417;MU02;MU;30.00;0.00;;8.3;-132.04;35.29;1;1429.5;V;10579.48;206.27;-2.12;26.27;2.12;0.0;0.0;162.0;NLOS;20.00
2;128.428040;37.520051;MU01;MU;1.000000;30.00;0.00;;4;128.386261;37.351318;MU03;MU;30.00;0.00;;10.2;-130.08;63.70;1;1429.5;V;19097.61;191.55;-1.98;11.55;1.98;0.0;0.0;160.1;NLOS;20.00
