From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9747.87;43.17;2.97;223.17;-2.97;0.0;0.0;143.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.29;74.66;1.89;254.66;-1.89;0.0;0.0;174.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;1.3;-139.00;26.40;1;1429.5;V;7913.31;256.70;0.97;76.70;-0.97;0.0;0.0;169.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;39.4;-100.97;19.47;1;1429.5;V;5837.59;343.06;2.22;163.06;-2.22;0.0;0.0;131.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;55.9;-84.40;29.31;1;1429.5;V;8786.60;327.87;4.29;147.87;-4.29;0.0;0.0;114.4;LOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;-2.4;-142.77;17.70;1;1429.5;V;5305.79;165.81;2.21;345.81;-2.21;0.0;0.0;172.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;26.4;-113.89;22.94;1;1429.5;V;6878.44;161.46;4.65;341.46;-4.65;0.0;0.0;143.9;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;14;128.513892;37.652036;NODE01;RE;30.00;0.00;;41.6;-98.75;17.97;1;1429.5;V;5387.29;270.43;2.95;90.43;-2.95;0.0;0.0;128.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;15;128.639156;37.629232;NODE02;RE;30.00;0.00;;14.9;-125.43;20.76;1;1429.5;V;6223.66;114.17;4.58;294.17;-4.58;0.0;0.0;155.4;NLOS;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;16;128.524266;37.731756;NODE03;RE;30.00;0.00;;42.6;-97.71;33.18;1;1429.5;V;9948.61;333.54;4.41;153.54;-4.41;0.0;0.0;127.7;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9748.46;223.17;-3.04;43.17;3.04;0.0;0.0;143.8;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.58;150.31;-2.07;330.31;2.07;0.0;0.0;109.9;LOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9142.11;128.42;-1.40;308.42;1.40;0.0;0.0;123.2;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4940.01;106.97;-2.64;286.97;2.64;0.0;0.0;137.5;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;24.3;-116.02;28.36;1;1429.5;V;8501.91;259.70;-1.94;79.70;1.94;0.0;0.0;146.0;NLOS;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;15;128.639156;37.629232;NODE02;RE;30.00;0.00;;55.1;-85.25;32.33;1;1429.5;V;9691.74;185.92;-0.10;5.92;0.10;0.0;0.0;115.3;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.66;254.66;-1.96;74.66;1.96;0.0;0.0;174.5;NLOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.46;330.31;2.03;150.31;-2.03;0.0;0.0;109.9;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.64;103.80;-0.39;283.80;0.39;0.0;0.0;109.0;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.31;34.20;-0.59;214.20;0.59;0.0;0.0;107.1;LOS;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;15;128.639156;37.629232;NODE02;RE;30.00;0.00;;31.9;-108.38;20.78;1;1429.5;V;6228.69;215.32;1.60;35.32;-1.60;0.0;0.0;138.4;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9141.87;308.42;1.34;128.42;-1.34;0.0;0.0;123.2;NLOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.62;283.80;0.36;103.80;-0.36;0.0;0.0;109.0;LOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;61.0;-79.31;16.32;1;1429.5;V;4891.96;330.08;-0.10;150.08;0.10;0.0;0.0;109.3;LOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;15;128.639156;37.629232;NODE02;RE;30.00;0.00;;55.6;-84.68;30.26;1;1429.5;V;9072.38;244.11;1.28;64.11;-1.28;0.0;0.0;114.7;LOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4939.88;286.97;2.61;106.97;-2.61;0.0;0.0;137.5;NLOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.29;214.20;0.56;34.20;-0.56;0.0;0.0;107.1;LOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;61.0;-79.31;16.32;1;1429.5;V;4891.96;150.08;0.07;330.08;-0.07;0.0;0.0;109.3;LOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;15;128.639156;37.629232;NODE02;RE;30.00;0.00;;54.8;-85.52;33.36;1;1429.5;V;10000.09;214.90;1.19;34.90;-1.19;0.0;0.0;115.5;LOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;1.3;-139.00;26.40;1;1429.5;V;7913.44;76.70;-1.03;256.70;1.03;0.0;0.0;169.0;NLOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;65.3;-75.00;9.93;1;1429.5;V;2978.42;239.30;1.61;59.30;-1.61;0.0;0.0;105.0;LOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;30.00;0.00;;60.3;-80.03;17.73;1;1429.5;V;5315.05;207.34;1.44;27.34;-1.44;0.0;0.0;110.0;LOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;-1.4;-141.71;31.78;1;1429.5;V;9527.18;39.04;0.51;219.04;-0.51;0.0;0.0;171.7;NLOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;25.4;-114.91;32.49;1;1429.5;V;9741.05;18.21;3.05;198.21;-3.05;0.0;0.0;144.9;NLOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;8.7;-131.62;32.00;1;1429.5;V;9593.04;110.25;0.37;290.25;-0.37;0.0;0.0;161.6;NLOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;14;128.513892;37.652036;NODE01;RE;30.00;0.00;;45.6;-94.71;9.93;1;1429.5;V;2976.87;51.28;2.70;231.28;-2.70;0.0;0.0;124.7;NLOS;20.00
7;128.458786;37.621331;MU06;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;65.3;-75.00;9.94;1;1429.5;V;2978.45;59.30;-1.63;239.30;1.63;0.0;0.0;105.0;LOS;20.00
7;128.458786;37.621331;MU06;MU;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;30.00;0.00;;37.0;-103.35;10.68;1;1429.5;V;3202.65;177.85;0.90;357.85;-0.90;0.0;0.0;133.4;NLOS;20.00
7;128.458786;37.621331;MU06;MU;1.000000;30.00;0.00;;14;128.513892;37.652036;NODE01;RE;30.00;0.00;;43.4;-96.96;19.80;1;1429.5;V;5936.48;55.29;0.53;235.29;-0.53;0.0;0.0;127.0;NLOS;20.00
8;128.460358;37.592496;MU07;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;60.3;-80.03;17.73;1;1429.5;V;5315.14;27.34;-1.47;207.34;1.47;0.0;0.0;110.0;LOS;20.00
8;128.460358;37.592496;MU07;MU;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;37.0;-103.35;10.68;1;1429.5;V;3202.67;357.85;-0.92;177.85;0.92;0.0;0.0;133.4;NLOS;20.00
8;128.460358;37.592496;MU07;MU;1.000000;30.00;0.00;;14;128.513892;37.652036;NODE01;RE;30.00;0.00;;56.6;-83.72;27.09;1;1429.5;V;8121.21;35.88;0.01;215.88;-0.01;0.0;0.0;113.7;LOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;39.4;-100.97;19.47;1;1429.5;V;5837.75;163.06;-2.26;343.06;2.26;0.0;0.0;131.0;NLOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;24.3;-116.01;28.36;1;1429.5;V;8501.63;79.70;1.88;259.70;-1.88;0.0;0.0;146.0;NLOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;-1.4;-141.71;31.78;1;1429.5;V;9527.28;219.04;-0.57;39.04;0.57;0.0;0.0;171.7;NLOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;63.9;-76.44;11.72;1;1429.5;V;3512.11;301.87;7.09;121.87;-7.09;0.0;0.0;106.4;LOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;11;128.519592;37.751747;MU10;MU;30.00;0.00;;-5.1;-145.45;21.18;1;1429.5;V;6348.28;330.52;2.80;150.52;-2.80;0.0;0.0;175.5;NLOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;14;128.513892;37.652036;NODE01;RE;30.00;0.00;;45.5;-94.86;22.19;1;1429.5;V;6651.04;213.59;0.42;33.59;-0.42;0.0;0.0;124.9;NLOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;16;128.524266;37.731756;NODE03;RE;30.00;0.00;;41.2;-99.10;14.38;1;1429.5;V;4310.57;320.50;7.21;140.50;-7.21;0.0;0.0;129.1;NLOS;20.00
10;128.521622;37.718586;MU09;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;55.9;-84.40;29.31;1;1429.5;V;8787.28;147.87;-4.35;327.87;4.35;0.0;0.0;114.4;LOS;20.00
10;128.521622;37.718586;MU09;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;25.4;-114.91;32.49;1;1429.5;V;9741.64;198.21;-3.12;18.21;3.12;0.0;0.0;144.9;NLOS;20.00
10;128.521622;37.718586;MU09;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;63.9;-76.44;11.72;1;1429.5;V;3512.29;121.87;-7.11;301.87;7.11;0.0;0.0;106.4;LOS;20.00
