From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9747.87;43.17;2.97;223.17;-2.97;0.0;0.0;143.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.29;74.66;1.89;254.66;-1.89;0.0;0.0;174.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;;30.00;0.00;;1.3;-139.00;26.40;1;1429.5;V;7913.31;256.70;0.97;76.70;-0.97;0.0;0.0;169.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;7;128.641535;37.700264;NODE01;New;RE#;30.00;0.00;;34.6;-105.75;26.60;1;1429.5;V;7975.45;47.85;3.82;227.85;-3.82;0.0;0.0;135.7;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;8;128.641762;37.700265;NODE02;New;RE#;30.00;0.00;;34.9;-105.46;26.65;1;1429.5;V;7990.39;47.95;3.83;227.95;-3.83;0.0;0.0;135.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;9;128.641082;37.700082;NODE03;New;RE#;30.00;0.00;;34.7;-105.63;26.46;1;1429.5;V;7932.35;47.77;3.83;227.77;-3.83;0.0;0.0;135.6;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;10;128.641309;37.700083;NODE04;New;RE#;30.00;0.00;;35.7;-104.59;26.51;1;1429.5;V;7947.40;47.86;3.85;227.86;-3.85;0.0;0.0;134.6;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9748.46;223.17;-3.04;43.17;3.04;0.0;0.0;143.8;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.58;150.31;-2.07;330.31;2.07;0.0;0.0;109.9;LOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9142.11;128.42;-1.40;308.42;1.40;0.0;0.0;123.2;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4940.01;106.97;-2.64;286.97;2.64;0.0;0.0;137.5;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;7;128.641535;37.700264;NODE01;New;RE#;30.00;0.00;;69.1;-71.18;6.40;1;1429.5;V;1917.23;203.36;0.71;23.36;-0.71;0.0;0.0;101.2;LOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;8;128.641762;37.700265;NODE02;New;RE#;30.00;0.00;;69.2;-71.14;6.37;1;1429.5;V;1909.41;202.80;0.77;22.80;-0.77;0.0;0.0;101.1;LOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;9;128.641082;37.700082;NODE03;New;RE#;30.00;0.00;;69.0;-71.33;6.51;1;1429.5;V;1951.63;204.20;0.64;24.20;-0.64;0.0;0.0;101.3;LOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;10;128.641309;37.700083;NODE04;New;RE#;30.00;0.00;;69.0;-71.30;6.48;1;1429.5;V;1943.57;203.66;0.76;23.66;-0.76;0.0;0.0;101.3;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.66;254.66;-1.96;74.66;1.96;0.0;0.0;174.5;NLOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.46;330.31;2.03;150.31;-2.03;0.0;0.0;109.9;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.64;103.80;-0.39;283.80;0.39;0.0;0.0;109.0;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.31;34.20;-0.59;214.20;0.59;0.0;0.0;107.1;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;7;128.641535;37.700264;NODE01;New;RE#;30.00;0.00;;62.0;-78.35;14.61;1;1429.5;V;4378.82;309.81;2.76;129.81;-2.76;0.0;0.0;108.4;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;8;128.641762;37.700265;NODE02;New;RE#;30.00;0.00;;62.0;-78.32;14.56;1;1429.5;V;4363.59;309.97;2.80;129.97;-2.80;0.0;0.0;108.3;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;9;128.641082;37.700082;NODE03;New;RE#;30.00;0.00;;42.4;-97.91;14.67;1;1429.5;V;4396.82;309.27;2.72;129.27;-2.72;0.0;0.0;127.9;NLOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;10;128.641309;37.700083;NODE04;New;RE#;30.00;0.00;;62.0;-78.36;14.62;1;1429.5;V;4381.57;309.44;2.78;129.44;-2.78;0.0;0.0;108.4;LOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9141.87;308.42;1.34;128.42;-1.34;0.0;0.0;123.2;NLOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.62;283.80;0.36;103.80;-0.36;0.0;0.0;109.0;LOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;61.0;-79.31;16.32;1;1429.5;V;4891.96;330.08;-0.10;150.08;0.10;0.0;0.0;109.3;LOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;7;128.641535;37.700264;NODE01;New;RE#;30.00;0.00;;55.9;-84.45;29.49;1;1429.5;V;8840.23;296.33;1.55;116.33;-1.55;0.0;0.0;114.5;LOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;8;128.641762;37.700265;NODE02;New;RE#;30.00;0.00;;55.9;-84.44;29.43;1;1429.5;V;8822.37;296.39;1.56;116.39;-1.56;0.0;0.0;114.4;LOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;9;128.641082;37.700082;NODE03;New;RE#;30.00;0.00;;55.8;-84.48;29.58;1;1429.5;V;8867.21;296.10;1.53;116.10;-1.53;0.0;0.0;114.5;LOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;10;128.641309;37.700083;NODE04;New;RE#;30.00;0.00;;55.9;-84.46;29.52;1;1429.5;V;8849.37;296.16;1.56;116.16;-1.56;0.0;0.0;114.5;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4939.88;286.97;2.61;106.97;-2.61;0.0;0.0;137.5;NLOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.29;214.20;0.56;34.20;-0.56;0.0;0.0;107.1;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;61.0;-79.31;16.32;1;1429.5;V;4891.96;150.08;0.07;330.08;-0.07;0.0;0.0;109.3;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;7;128.641535;37.700264;NODE01;New;RE#;30.00;0.00;;60.0;-80.32;18.33;1;1429.5;V;5494.94;266.66;2.59;86.66;-2.59;0.0;0.0;110.3;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;8;128.641762;37.700265;NODE02;New;RE#;30.00;0.00;;60.0;-80.29;18.26;1;1429.5;V;5475.09;266.65;2.62;86.65;-2.62;0.0;0.0;110.3;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;9;128.641082;37.700082;NODE03;New;RE#;30.00;0.00;;59.9;-80.39;18.47;1;1429.5;V;5535.94;266.48;2.55;86.48;-2.55;0.0;0.0;110.4;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;10;128.641309;37.700083;NODE04;New;RE#;30.00;0.00;;60.0;-80.36;18.40;1;1429.5;V;5516.18;266.46;2.60;86.46;-2.60;0.0;0.0;110.4;LOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;1.3;-139.00;26.40;1;1429.5;V;7913.44;76.70;-1.03;256.70;1.03;0.0;0.0;169.0;NLOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;34.6;-105.75;26.60;1;1429.5;V;7975.95;227.85;-3.87;47.85;3.87;0.0;0.0;135.7;NLOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;69.1;-71.18;6.40;1;1429.5;V;1917.23;23.36;-0.72;203.36;0.72;0.0;0.0;101.2;LOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;62.0;-78.35;14.61;1;1429.5;V;4378.93;129.81;-2.79;309.81;2.79;0.0;0.0;108.4;LOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;55.9;-84.45;29.49;1;1429.5;V;8840.48;116.33;-1.60;296.33;1.60;0.0;0.0;114.5;LOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;60.0;-80.32;18.33;1;1429.5;V;5495.11;86.66;-2.63;266.66;2.63;0.0;0.0;110.3;LOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;8;128.641762;37.700265;NODE02;New;RE#;30.00;0.00;;108.7;-31.59;0.07;1;1429.5;V;20.10;90.00;5.71;270.00;-5.71;0.0;0.0;61.6;LOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;9;128.641082;37.700082;NODE03;New;RE#;30.00;0.00;;101.8;-38.54;0.15;1;1429.5;V;44.77;243.43;-2.56;63.43;2.56;0.0;0.0;68.5;LOS;20.00
7;128.641535;37.700264;NODE01;New;RE#;1.000000;30.00;0.00;;10;128.641309;37.700083;NODE04;New;RE#;30.00;0.00;;105.7;-34.58;0.09;1;1429.5;V;28.35;225.00;4.04;45.00;-4.04;0.0;0.0;64.6;LOS;20.00
8;128.641762;37.700265;NODE02;New;RE#;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;34.9;-105.46;26.65;1;1429.5;V;7990.89;227.95;-3.88;47.95;3.88;0.0;0.0;135.5;NLOS;20.00
8;128.641762;37.700265;NODE02;New;RE#;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;69.2;-71.14;6.37;1;1429.5;V;1909.42;22.80;-0.79;202.80;0.79;0.0;0.0;101.1;LOS;20.00
8;128.641762;37.700265;NODE02;New;RE#;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;62.0;-78.32;14.56;1;1429.5;V;4363.70;129.97;-2.83;309.97;2.83;0.0;0.0;108.3;LOS;20.00
8;128.641762;37.700265;NODE02;New;RE#;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;55.9;-84.44;29.43;1;1429.5;V;8822.62;116.39;-1.62;296.39;1.62;0.0;0.0;114.4;LOS;20.00
8;128.641762;37.700265;NODE02;New;RE#;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;60.0;-80.29;18.26;1;1429.5;V;5475.25;86.65;-2.66;266.65;2.66;0.0;0.0;110.3;LOS;20.00
