From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9747.87;43.17;2.97;223.17;-2.97;0.0;0.0;143.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.29;74.66;1.89;254.66;-1.89;0.0;0.0;174.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;;30.00;0.00;;1.3;-139.00;26.40;1;1429.5;V;7913.31;256.70;0.97;76.70;-0.97;0.0;0.0;169.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;;30.00;0.00;;39.4;-100.97;19.47;1;1429.5;V;5837.59;343.06;2.22;163.06;-2.22;0.0;0.0;131.0;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;;30.00;0.00;;55.9;-84.40;29.31;1;1429.5;V;8786.60;327.87;4.29;147.87;-4.29;0.0;0.0;114.4;LOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;;30.00;0.00;;-2.4;-142.77;17.70;1;1429.5;V;5305.79;165.81;2.21;345.81;-2.21;0.0;0.0;172.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;;30.00;0.00;;26.4;-113.89;22.94;1;1429.5;V;6878.44;161.46;4.65;341.46;-4.65;0.0;0.0;143.9;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;14;128.508987;37.673828;NODE01;New;RE#;30.00;0.00;;58.8;-81.54;21.09;1;1429.5;V;6322.69;292.98;4.84;112.98;-4.84;0.0;0.0;111.5;LOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;15;128.567874;37.687579;NODE02;New;RE#;30.00;0.00;;52.6;-87.76;13.37;1;1429.5;V;4008.60;351.38;2.36;171.38;-2.36;0.0;0.0;117.8;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;16;128.568328;37.687580;NODE03;New;RE#;30.00;0.00;;54.8;-85.55;13.35;1;1429.5;V;4003.06;351.95;2.45;171.95;-2.45;0.0;0.0;115.5;NLOS;20.00
1;128.574875;37.651914;CC;CC;;1.000000;30.00;0.00;;17;128.567421;37.687397;NODE04;New;RE#;30.00;0.00;;62.8;-77.55;13.33;1;1429.5;V;3994.93;350.77;2.32;170.77;-2.32;0.0;0.0;107.6;LOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;26.6;-113.76;32.52;1;1429.5;V;9748.46;223.17;-3.04;43.17;3.04;0.0;0.0;143.8;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.58;150.31;-2.07;330.31;2.07;0.0;0.0;109.9;LOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9142.11;128.42;-1.40;308.42;1.40;0.0;0.0;123.2;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4940.01;106.97;-2.64;286.97;2.64;0.0;0.0;137.5;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;;30.00;0.00;;24.3;-116.02;28.36;1;1429.5;V;8501.91;259.70;-1.94;79.70;1.94;0.0;0.0;146.0;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;15;128.567874;37.687579;NODE02;New;RE#;30.00;0.00;;23.4;-116.95;26.41;1;1429.5;V;7917.62;246.61;-2.52;66.61;2.52;0.0;0.0;147.0;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;16;128.568328;37.687580;NODE03;New;RE#;30.00;0.00;;23.8;-116.47;26.29;1;1429.5;V;7880.70;246.50;-2.49;66.50;2.49;0.0;0.0;146.5;NLOS;20.00
2;128.650085;37.716153;MU01;MU;;1.000000;30.00;0.00;;17;128.567421;37.687397;NODE04;New;RE#;30.00;0.00;;23.6;-116.74;26.56;1;1429.5;V;7962.37;246.59;-2.53;66.59;2.53;0.0;0.0;146.7;NLOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;-4.1;-144.47;32.05;1;1429.5;V;9607.66;254.66;-1.96;74.66;1.96;0.0;0.0;174.5;NLOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;60.4;-79.93;17.52;1;1429.5;V;5252.46;330.31;2.03;150.31;-2.03;0.0;0.0;109.9;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.64;103.80;-0.39;283.80;0.39;0.0;0.0;109.0;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.31;34.20;-0.59;214.20;0.59;0.0;0.0;107.1;LOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;15;128.567874;37.687579;NODE02;New;RE#;30.00;0.00;;23.2;-117.12;33.23;1;1429.5;V;9963.06;278.20;-0.94;98.20;0.94;0.0;0.0;147.1;NLOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;16;128.568328;37.687580;NODE03;New;RE#;30.00;0.00;;23.7;-116.61;33.10;1;1429.5;V;9923.38;278.23;-0.91;98.23;0.91;0.0;0.0;146.6;NLOS;20.00
3;128.679764;37.675137;MU02;MU;;1.000000;30.00;0.00;;17;128.567421;37.687397;NODE04;New;RE#;30.00;0.00;;22.8;-117.56;33.36;1;1429.5;V;9999.88;278.05;-0.95;98.05;0.95;0.0;0.0;147.6;NLOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;47.1;-93.19;30.49;1;1429.5;V;9141.87;308.42;1.34;128.42;-1.34;0.0;0.0;123.2;NLOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;61.4;-78.96;15.66;1;1429.5;V;4695.62;283.80;0.36;103.80;-0.36;0.0;0.0;109.0;LOS;20.00
4;128.731506;37.665173;MU03;MU;;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;;30.00;0.00;;61.0;-79.31;16.32;1;1429.5;V;4891.96;330.08;-0.10;150.08;0.10;0.0;0.0;109.3;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;32.9;-107.46;16.48;1;1429.5;V;4939.88;286.97;2.61;106.97;-2.61;0.0;0.0;137.5;NLOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.29;214.20;0.56;34.20;-0.56;0.0;0.0;107.1;LOS;20.00
5;128.703690;37.703319;MU04;MU;;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;;30.00;0.00;;61.0;-79.31;16.32;1;1429.5;V;4891.96;150.08;0.07;330.08;-0.07;0.0;0.0;109.3;LOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;1.3;-139.00;26.40;1;1429.5;V;7913.44;76.70;-1.03;256.70;1.03;0.0;0.0;169.0;NLOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;;30.00;0.00;;65.3;-75.00;9.93;1;1429.5;V;2978.42;239.30;1.61;59.30;-1.61;0.0;0.0;105.0;LOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;;30.00;0.00;;60.3;-80.03;17.73;1;1429.5;V;5315.05;207.34;1.44;27.34;-1.44;0.0;0.0;110.0;LOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;;30.00;0.00;;-1.4;-141.71;31.78;1;1429.5;V;9527.18;39.04;0.51;219.04;-0.51;0.0;0.0;171.7;NLOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;;30.00;0.00;;25.4;-114.91;32.49;1;1429.5;V;9741.05;18.21;3.05;198.21;-3.05;0.0;0.0;144.9;NLOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;;30.00;0.00;;8.7;-131.62;32.00;1;1429.5;V;9593.04;110.25;0.37;290.25;-0.37;0.0;0.0;161.6;NLOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;14;128.508987;37.673828;NODE01;New;RE#;30.00;0.00;;61.4;-78.97;15.68;1;1429.5;V;4699.55;23.94;4.84;203.94;-4.84;0.0;0.0;109.0;LOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;15;128.567874;37.687579;NODE02;New;RE#;30.00;0.00;;0.7;-139.65;30.54;1;1429.5;V;9155.27;50.85;0.14;230.85;-0.14;0.0;0.0;169.7;NLOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;16;128.568328;37.687580;NODE03;New;RE#;30.00;0.00;;0.7;-139.60;30.64;1;1429.5;V;9186.34;51.01;0.18;231.01;-0.18;0.0;0.0;169.6;NLOS;20.00
6;128.487701;37.635163;MU05;MU;;1.000000;30.00;0.00;;17;128.567421;37.687397;NODE04;New;RE#;30.00;0.00;;0.5;-139.83;30.39;1;1429.5;V;9111.62;50.79;0.13;230.79;-0.13;0.0;0.0;169.8;NLOS;20.00
7;128.458786;37.621331;MU06;MU;;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;;30.00;0.00;;65.3;-75.00;9.94;1;1429.5;V;2978.45;59.30;-1.63;239.30;1.63;0.0;0.0;105.0;LOS;20.00
7;128.458786;37.621331;MU06;MU;;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;;30.00;0.00;;37.0;-103.35;10.68;1;1429.5;V;3202.65;177.85;0.90;357.85;-0.90;0.0;0.0;133.4;NLOS;20.00
7;128.458786;37.621331;MU06;MU;;1.000000;30.00;0.00;;14;128.508987;37.673828;NODE01;New;RE#;30.00;0.00;;57.5;-82.82;24.43;1;1429.5;V;7323.13;37.56;2.43;217.56;-2.43;0.0;0.0;112.8;LOS;20.00
8;128.460358;37.592496;MU07;MU;;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;;30.00;0.00;;60.3;-80.03;17.73;1;1429.5;V;5315.14;27.34;-1.47;207.34;1.47;0.0;0.0;110.0;LOS;20.00
8;128.460358;37.592496;MU07;MU;;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;;30.00;0.00;;37.0;-103.35;10.68;1;1429.5;V;3202.67;357.85;-0.92;177.85;0.92;0.0;0.0;133.4;NLOS;20.00
8;128.460358;37.592496;MU07;MU;;1.000000;30.00;0.00;;14;128.508987;37.673828;NODE01;New;RE#;30.00;0.00;;54.8;-85.52;33.34;1;1429.5;V;9995.08;25.74;1.47;205.74;-1.47;0.0;0.0;115.5;LOS;20.00
9;128.555313;37.702134;MU08;MU;;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;;30.00;0.00;;39.4;-100.97;19.47;1;1429.5;V;5837.75;163.06;-2.26;343.06;2.26;0.0;0.0;131.0;NLOS;20.00
9;128.555313;37.702134;MU08;MU;;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;;30.00;0.00;;24.3;-116.01;28.36;1;1429.5;V;8501.63;79.70;1.88;259.70;-1.88;0.0;0.0;146.0;NLOS;20.00
9;128.555313;37.702134;MU08;MU;;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;;30.00;0.00;;-1.4;-141.71;31.78;1;1429.5;V;9527.28;219.04;-0.57;39.04;0.57;0.0;0.0;171.7;NLOS;20.00
