From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;49.1;-91.26;32.47;1;1429.5;V;9734.76;43.17;-0.03;223.17;0.03;0.0;0.0;121.3;SP;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;49.3;-91.03;32.03;1;1429.5;V;9602.04;74.66;-0.03;254.66;0.03;0.0;0.0;121.0;SP;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;52.6;-87.76;26.39;1;1429.5;V;7912.17;256.70;-0.03;76.70;0.03;0.0;0.0;117.8;SP;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;57.6;-82.68;19.46;1;1429.5;V;5833.22;343.06;-0.02;163.06;0.02;0.0;0.0;112.7;SP;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;50.8;-89.48;29.23;1;1429.5;V;8761.96;327.87;-0.03;147.87;0.03;0.0;0.0;119.5;SP;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;59.2;-81.12;17.69;1;1429.5;V;5301.85;165.81;-0.02;345.81;0.02;0.0;0.0;111.1;SP;20.00
1;128.574875;37.651914;CC;CC;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;55.0;-85.36;22.87;1;1429.5;V;6855.83;161.46;-0.02;341.46;0.02;0.0;0.0;115.4;SP;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;49.1;-91.26;32.47;1;1429.5;V;9734.76;223.17;-0.03;43.17;0.03;0.0;0.0;121.3;SP;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;59.4;-80.95;17.51;1;1429.5;V;5249.15;150.31;-0.02;330.31;0.02;0.0;0.0;111.0;SP;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;50.1;-90.19;30.49;1;1429.5;V;9139.37;128.42;-0.03;308.42;0.03;0.0;0.0;120.2;SP;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;60.4;-79.95;16.46;1;1429.5;V;4934.77;106.97;-0.02;286.97;0.02;0.0;0.0;110.0;SP;20.00
2;128.650085;37.716153;MU01;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;51.4;-88.96;28.34;1;1429.5;V;8497.06;259.70;-0.03;79.70;0.03;0.0;0.0;119.0;SP;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;49.3;-91.03;32.03;1;1429.5;V;9602.04;254.66;-0.03;74.66;0.03;0.0;0.0;121.0;SP;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;59.4;-80.95;17.51;1;1429.5;V;5249.15;330.31;-0.02;150.31;0.02;0.0;0.0;111.0;SP;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;61.2;-79.15;15.66;1;1429.5;V;4695.53;103.80;-0.02;283.80;0.02;0.0;0.0;109.1;SP;20.00
3;128.679764;37.675137;MU02;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.11;34.20;-0.01;214.20;0.01;0.0;0.0;107.1;LOS;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;50.1;-90.19;30.49;1;1429.5;V;9139.37;308.42;-0.03;128.42;0.03;0.0;0.0;120.2;SP;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;61.2;-79.15;15.66;1;1429.5;V;4695.53;283.80;-0.02;103.80;0.02;0.0;0.0;109.1;SP;20.00
4;128.731506;37.665173;MU03;MU;1.000000;30.00;0.00;;5;128.703690;37.703319;MU04;MU;30.00;0.00;;60.5;-79.81;16.32;1;1429.5;V;4891.95;330.08;-0.02;150.08;0.02;0.0;0.0;109.8;SP;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;60.4;-79.95;16.46;1;1429.5;V;4934.77;286.97;-0.02;106.97;0.02;0.0;0.0;110.0;SP;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;3;128.679764;37.675137;MU02;MU;30.00;0.00;;63.3;-77.06;12.58;1;1429.5;V;3772.11;214.20;-0.01;34.20;0.01;0.0;0.0;107.1;LOS;20.00
5;128.703690;37.703319;MU04;MU;1.000000;30.00;0.00;;4;128.731506;37.665173;MU03;MU;30.00;0.00;;60.5;-79.81;16.32;1;1429.5;V;4891.95;150.08;-0.02;330.08;0.02;0.0;0.0;109.8;SP;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;52.6;-87.76;26.39;1;1429.5;V;7912.17;76.70;-0.03;256.70;0.03;0.0;0.0;117.8;SP;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;65.3;-75.00;9.93;1;1429.5;V;2977.25;239.30;-0.01;59.30;0.01;0.0;0.0;105.0;LOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;30.00;0.00;;59.2;-81.15;17.72;1;1429.5;V;5313.38;207.34;-0.02;27.34;0.02;0.0;0.0;111.2;SP;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;49.4;-90.89;31.78;1;1429.5;V;9526.81;39.04;-0.03;219.04;0.03;0.0;0.0;120.9;SP;20.00
