From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;2;127.786888;37.562076;MU01;MU;;30.00;180.00;;28.7;-96.60;36.83;1;800;V;11041.29;90.21;0.85;270.21;-0.85;0.0;0.0;159.6;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;4;127.664581;37.462338;MU03;MU;;30.00;270.00;;38.7;-86.55;36.56;1;800;V;10961.32;179.58;0.78;-0.42;-0.78;0.0;0.0;149.6;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;6;127.538765;37.559270;MU05;MU;;30.00;90.00;;34.5;-90.75;36.41;1;800;V;10916.91;269.79;4.71;89.79;-4.71;0.0;0.0;153.8;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;7;127.538765;37.559270;MU06;MU;;30.00;180.00;;34.5;-90.75;36.41;1;800;V;10916.91;269.79;4.71;89.79;-4.71;0.0;0.0;153.8;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;8;127.661911;37.561088;MU07;MU;;30.00;180.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;9;127.661911;37.561088;MU08;MU;;30.00;270.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;10;127.786888;37.562076;MU09;MU;;30.00;270.00;;28.7;-96.60;36.83;1;800;V;11041.29;90.21;0.85;270.21;-0.85;0.0;0.0;159.6;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;12;127.664581;37.462338;MU11;MU;;30.00;0.00;;38.7;-86.55;36.56;1;800;V;10961.32;179.58;0.78;-0.42;-0.78;0.0;0.0;149.6;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;13;127.664581;37.462338;MU12;MU;;30.00;90.00;;38.7;-86.55;36.56;1;800;V;10961.32;179.58;0.78;-0.42;-0.78;0.0;0.0;149.6;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;15;127.652480;37.544217;NODE01;New;RE#;30.00;90.00;;91.6;-43.72;6.85;1;800;V;2054.16;204.81;3.98;24.81;-3.98;0.0;0.0;96.7;LOS;20.00
2;127.786888;37.562076;MU01;MU;;200.000000;30.00;180.00;;1;127.661911;37.561088;CC;CC;;30.00;90.00;;28.7;-96.60;36.83;1;800;V;11041.51;270.21;-0.92;90.21;0.92;0.0;0.0;159.6;NLOS;20.00
