From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;2;128.650085;37.716153;hctr2;B;;30.00;0.00;nan;48.3;-72.53;32.54;1;1429.5;V;9755.94;42.00;2.94;222.00;-3.01;0.0;0.0;144.5;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;3;128.679763;37.675137;hctr3;A;;30.00;0.00;nan;17.7;-103.15;32.10;1;1429.5;V;9623.90;73.45;1.91;253.45;-1.98;0.0;0.0;175.2;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;4;128.731506;37.665173;hctr4;B;;30.00;0.00;nan;19.2;-101.64;46.40;1;1429.5;V;13909.57;82.90;1.15;262.90;-1.24;0.0;0.0;173.7;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;5;128.703689;37.703320;hctr5;C;;30.00;0.00;nan;16.9;-103.94;42.47;1;1429.5;V;12732.74;62.39;1.23;242.39;-1.31;0.0;0.0;176.0;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;2;128.650085;37.716153;hctr2;B;;30.00;0.00;nan;48.2;-72.67;32.54;2;1445;V;9755.94;42.00;2.94;222.00;-3.01;0.0;0.0;144.7;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;3;128.679763;37.675137;hctr3;A;;30.00;0.00;nan;17.6;-103.29;32.10;2;1445;V;9623.90;73.45;1.91;253.45;-1.98;0.0;0.0;175.3;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;4;128.731506;37.665173;hctr4;B;;30.00;0.00;nan;19.1;-101.78;46.40;2;1445;V;13909.57;82.90;1.15;262.90;-1.24;0.0;0.0;173.8;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;5;128.703689;37.703320;hctr5;C;;30.00;0.00;nan;16.8;-104.08;42.47;2;1445;V;12732.74;62.39;1.23;242.39;-1.31;0.0;0.0;176.1;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;2;128.650085;37.716153;hctr2;B;;30.00;0.00;nan;48.2;-72.67;32.54;3;1445;V;9755.94;42.00;2.94;222.00;-3.01;0.0;0.0;144.7;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;3;128.679763;37.675137;hctr3;A;;30.00;0.00;nan;17.6;-103.29;32.10;3;1445;V;9623.90;73.45;1.91;253.45;-1.98;0.0;0.0;175.3;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;4;128.731506;37.665173;hctr4;B;;30.00;0.00;nan;19.1;-101.78;46.40;3;1445;V;13909.57;82.90;1.15;262.90;-1.24;0.0;0.0;173.8;NLOS;20.00
1;128.574874;37.651913;hctr1;A;;178.250188;30.00;0.00;nan;5;128.703689;37.703320;hctr5;C;;30.00;0.00;nan;16.8;-104.08;42.47;3;1445;V;12732.74;62.39;1.23;242.39;-1.31;0.0;0.0;176.1;NLOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;1;128.574874;37.651913;hctr1;A;;30.00;0.00;nan;48.3;-72.53;32.54;1;1429.5;V;9756.52;222.00;-3.01;42.00;2.94;0.0;0.0;144.5;NLOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;3;128.679763;37.675137;hctr3;A;;30.00;0.00;nan;82.9;-37.92;17.52;1;1429.5;V;5250.96;149.04;-1.97;329.04;1.94;0.0;0.0;109.9;LOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;4;128.731506;37.665173;hctr4;B;;30.00;0.00;nan;78.1;-42.73;30.48;1;1429.5;V;9138.80;127.17;-1.39;307.17;1.32;0.0;0.0;114.7;LOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;5;128.703689;37.703320;hctr5;C;;30.00;0.00;nan;54.2;-66.63;16.51;1;1429.5;V;4950.15;105.72;-2.61;285.72;2.58;0.0;0.0;138.6;NLOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;1;128.574874;37.651913;hctr1;A;;30.00;0.00;nan;48.3;-72.54;32.54;2;1430;V;9756.52;222.00;-3.01;42.00;2.94;0.0;0.0;144.5;NLOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;3;128.679763;37.675137;hctr3;A;;30.00;0.00;nan;82.9;-37.92;17.52;2;1430;V;5250.96;149.04;-1.97;329.04;1.94;0.0;0.0;109.9;LOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;4;128.731506;37.665173;hctr4;B;;30.00;0.00;nan;78.1;-42.73;30.48;2;1430;V;9138.80;127.17;-1.39;307.17;1.32;0.0;0.0;114.7;LOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;5;128.703689;37.703320;hctr5;C;;30.00;0.00;nan;54.2;-66.63;16.51;2;1430;V;4950.15;105.72;-2.61;285.72;2.58;0.0;0.0;138.6;NLOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;1;128.574874;37.651913;hctr1;A;;30.00;0.00;nan;48.3;-72.54;32.54;3;1430;V;9756.52;222.00;-3.01;42.00;2.94;0.0;0.0;144.5;NLOS;20.00
2;128.650085;37.716153;hctr2;B;;178.250188;30.00;0.00;nan;3;128.679763;37.675137;hctr3;A;;30.00;0.00;nan;82.9;-37.92;17.52;3;1430;V;5250.96;149.04;-1.97;329.04;1.94;0.0;0.0;109.9;LOS;20.00
