From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.465317;37.479031;CC;CC;100.000000;30.00;0.00;;2;128.355942;37.546729;MU01;MU;30.00;0.00;;16.1;-104.19;40.86;1;1429.5;V;12249.13;308.24;0.94;128.24;-0.94;0.0;0.0;174.2;NLOS;20.00
1;128.465317;37.479031;CC;CC;100.000000;30.00;0.00;;3;128.375854;37.434417;MU02;MU;30.00;0.00;;32.4;-87.96;31.12;1;1429.5;V;9330.32;238.32;-0.22;58.32;0.22;0.0;0.0;158.0;NLOS;20.00
1;128.465317;37.479031;CC;CC;100.000000;30.00;0.00;;6;128.587829;37.492648;MU05;MU;30.00;0.00;;6.5;-113.83;36.49;1;1429.5;V;10939.11;82.33;0.86;262.33;-0.86;0.0;0.0;183.8;NLOS;20.00
1;128.465317;37.479031;CC;CC;100.000000;30.00;0.00;;7;128.548309;37.427441;MU06;MU;30.00;0.00;;3.6;-116.74;31.08;1;1429.5;V;9317.88;128.20;1.54;308.20;-1.54;0.0;0.0;186.7;NLOS;20.00
2;128.355942;37.546729;MU01;MU;100.000000;30.00;0.00;;1;128.465317;37.479031;CC;CC;30.00;0.00;;16.1;-104.19;40.86;1;1429.5;V;12249.44;128.24;-1.02;308.24;1.02;0.0;0.0;174.2;NLOS;20.00
2;128.355942;37.546729;MU01;MU;100.000000;30.00;0.00;;3;128.375854;37.434417;MU02;MU;30.00;0.00;;4.2;-116.07;42.01;1;1429.5;V;12595.04;172.33;-1.13;352.33;1.13;0.0;0.0;186.1;NLOS;20.00
2;128.355942;37.546729;MU01;MU;100.000000;30.00;0.00;;8;128.295212;37.435075;MU09;MU;30.00;0.00;;9.2;-111.15;45.02;1;1429.5;V;13496.08;203.87;-1.01;23.87;1.01;0.0;0.0;181.2;NLOS;20.00
3;128.375854;37.434417;MU02;MU;100.000000;30.00;0.00;;1;128.465317;37.479031;CC;CC;30.00;0.00;;32.4;-87.96;31.12;1;1429.5;V;9330.29;58.32;0.15;238.32;-0.15;0.0;0.0;158.0;NLOS;20.00
3;128.375854;37.434417;MU02;MU;100.000000;30.00;0.00;;2;128.355942;37.546729;MU01;MU;30.00;0.00;;4.2;-116.08;42.01;1;1429.5;V;12594.68;352.33;1.05;172.33;-1.05;0.0;0.0;186.1;NLOS;20.00
3;128.375854;37.434417;MU02;MU;100.000000;30.00;0.00;;4;128.386261;37.351318;MU03;MU;30.00;0.00;;36.7;-83.64;30.90;1;1429.5;V;9263.67;174.67;-1.61;354.67;1.61;0.0;0.0;153.6;NLOS;20.00
3;128.375854;37.434417;MU02;MU;100.000000;30.00;0.00;;8;128.295212;37.435075;MU09;MU;30.00;0.00;;26.1;-94.26;23.82;1;1429.5;V;7141.38;271.12;0.07;91.12;-0.07;0.0;0.0;164.3;NLOS;20.00
4;128.386261;37.351318;MU03;MU;100.000000;30.00;0.00;;3;128.375854;37.434417;MU02;MU;30.00;0.00;;36.7;-83.64;30.90;1;1429.5;V;9263.39;354.67;1.55;174.67;-1.55;0.0;0.0;153.6;NLOS;20.00
4;128.386261;37.351318;MU03;MU;100.000000;30.00;0.00;;8;128.295212;37.435075;MU09;MU;30.00;0.00;;7.5;-112.87;41.08;1;1429.5;V;12315.69;319.48;1.20;139.48;-1.20;0.0;0.0;182.9;NLOS;20.00
5;128.583359;37.373242;MU04;MU;100.000000;30.00;0.00;;6;128.587829;37.492648;MU05;MU;30.00;0.00;;3.3;-117.01;44.19;1;1429.5;V;13248.68;1.90;0.82;181.90;-0.82;0.0;0.0;187.0;NLOS;20.00
