From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;8;127.661911;37.561088;MU07;MU;;30.00;180.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
1;127.661911;37.561088;CC;CC;;200.000000;30.00;90.00;;9;127.661911;37.561088;MU08;MU;;30.00;270.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
2;127.786888;37.562076;MU01;MU;;200.000000;30.00;180.00;;10;127.786888;37.562076;MU09;MU;;30.00;270.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
3;127.788040;37.462943;MU02;MU;;200.000000;30.00;0.00;;11;127.788040;37.462943;MU10;MU;;30.00;270.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
4;127.664581;37.462338;MU03;MU;;200.000000;30.00;270.00;;12;127.664581;37.462338;MU11;MU;;30.00;0.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
4;127.664581;37.462338;MU03;MU;;200.000000;30.00;270.00;;13;127.664581;37.462338;MU12;MU;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
5;127.540687;37.460510;MU04;MU;;200.000000;30.00;0.00;;14;127.540687;37.460510;MU13;MU;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
6;127.538765;37.559270;MU05;MU;;200.000000;30.00;90.00;;7;127.538765;37.559270;MU06;MU;;30.00;180.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
7;127.538765;37.559270;MU06;MU;;200.000000;30.00;180.00;;6;127.538765;37.559270;MU05;MU;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
8;127.661911;37.561088;MU07;MU;;200.000000;30.00;180.00;;1;127.661911;37.561088;CC;CC;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
8;127.661911;37.561088;MU07;MU;;200.000000;30.00;180.00;;9;127.661911;37.561088;MU08;MU;;30.00;270.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
9;127.661911;37.561088;MU08;MU;;200.000000;30.00;270.00;;1;127.661911;37.561088;CC;CC;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
9;127.661911;37.561088;MU08;MU;;200.000000;30.00;270.00;;8;127.661911;37.561088;MU07;MU;;30.00;180.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
10;127.786888;37.562076;MU09;MU;;200.000000;30.00;270.00;;2;127.786888;37.562076;MU01;MU;;30.00;180.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
11;127.788040;37.462943;MU10;MU;;200.000000;30.00;270.00;;3;127.788040;37.462943;MU02;MU;;30.00;0.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
12;127.664581;37.462338;MU11;MU;;200.000000;30.00;0.00;;4;127.664581;37.462338;MU03;MU;;30.00;270.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
12;127.664581;37.462338;MU11;MU;;200.000000;30.00;0.00;;13;127.664581;37.462338;MU12;MU;;30.00;90.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
13;127.664581;37.462338;MU12;MU;;200.000000;30.00;90.00;;4;127.664581;37.462338;MU03;MU;;30.00;270.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
13;127.664581;37.462338;MU12;MU;;200.000000;30.00;90.00;;12;127.664581;37.462338;MU11;MU;;30.00;0.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
14;127.540687;37.460510;MU13;MU;;200.000000;30.00;90.00;;5;127.540687;37.460510;MU04;MU;;30.00;0.00;;29.0;-96.28;0.00;1;800;V;0.37;0.00;-90.00;180.00;90.00;0.0;0.0;159.3;NLOS;20.00
