From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;2;127.053312;38.052880;MLR2;중형부대;;5.00;0.00;nan;-9.4;-146.16;43.35;1;2000;V;12997.02;67.18;0.10;247.18;-0.19;-0.0;0.0;189.2;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;3;127.054479;38.091281;MLR3;중형부대;;5.00;0.00;nan;21.4;-115.37;50.90;1;2000;V;15259.11;52.35;0.85;232.35;-0.96;-0.0;0.0;158.4;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;4;126.976398;38.031865;MLR4;중형부대;;5.00;0.00;nan;-5.3;-142.07;19.69;1;2000;V;5903.97;62.57;0.28;242.57;-0.32;-0.0;0.0;185.1;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;5;126.932201;37.960102;MLR5;중형부대;;5.00;0.00;nan;34.9;-101.83;18.06;1;2000;V;5414.86;165.45;1.23;345.45;-1.27;-0.0;0.0;144.8;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;6;127.273121;38.116651;MLR6;중형부대;;5.00;0.00;nan;-20.0;-156.76;111.88;1;2000;V;33541.82;68.74;0.05;248.74;-0.28;-0.0;0.0;199.8;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;7;127.258153;38.075423;MLR7;소형노드;;5.00;0.00;nan;10.1;-126.69;103.09;1;2000;V;30904.87;75.80;0.43;255.80;-0.63;-0.0;0.0;169.7;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;8;127.200389;38.082112;MLR8;소형노드;;5.00;0.00;nan;-16.1;-152.84;87.51;1;2000;V;26234.93;71.51;0.41;251.51;-0.58;-0.0;0.0;195.8;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;10;127.265867;38.097298;SLR10;소형부대;;5.00;0.00;nan;-20.4;-145.10;107.47;1;2000;V;32217.79;71.88;0.06;251.88;-0.27;-0.0;0.0;200.1;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;11;127.258189;38.085874;SLR11;소형부대;;5.00;0.00;nan;-23.9;-148.68;104.10;1;2000;V;31208.95;73.74;0.18;253.74;-0.39;-0.0;0.0;203.7;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;12;127.226070;38.093868;SLR12;소형부대;;5.00;0.00;nan;-23.5;-148.26;96.05;1;2000;V;28794.71;70.48;0.21;250.48;-0.41;-0.0;0.0;203.3;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;13;127.221444;38.109821;SLR13;소형부대;;5.00;0.00;nan;2.6;-122.13;96.97;1;2000;V;29069.56;66.91;0.45;246.91;-0.64;-0.0;0.0;177.1;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;14;127.044552;38.034792;SLR14;소형부대;;5.00;0.00;nan;-8.6;-133.39;38.78;1;2000;V;11624.60;74.84;0.17;254.84;-0.25;-0.0;0.0;188.4;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;15;127.068301;38.098024;SLR15;소형부대;;5.00;0.00;nan;-19.2;-143.95;55.63;1;2000;V;16676.19;52.90;0.15;232.90;-0.26;-0.0;0.0;199.0;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;16;126.959122;38.036954;SLR16;소형부대;;5.00;0.00;nan;6.4;-118.33;16.55;1;2000;V;4960.12;48.60;0.90;228.60;-0.93;-0.0;0.0;173.3;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;17;126.884679;38.003388;SLR17;소형부대;;5.00;0.00;nan;35.5;-89.26;9.52;1;2000;V;2854.23;261.13;-0.51;81.13;0.49;-0.0;0.0;144.3;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;18;126.904793;37.947189;SLR18;소형부대;;5.00;0.00;nan;28.0;-96.70;22.56;1;2000;V;6763.58;189.02;-0.04;9.02;-0.01;-0.0;0.0;151.7;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;20;127.255842;38.132366;SLR3;소형부대;;5.00;0.00;nan;-24.8;-149.56;109.50;1;2000;V;32828.04;64.95;0.09;244.95;-0.31;-0.0;0.0;204.6;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;22;127.288800;38.102019;SLR5;소형부대;;5.00;0.00;nan;-27.1;-151.89;114.41;1;2000;V;34299.63;72.10;0.10;252.10;-0.33;-0.0;0.0;206.9;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;25;127.283584;38.109419;SLR8;소형부대;;5.00;0.00;nan;-19.7;-144.42;113.83;1;2000;V;34126.27;70.56;0.03;250.56;-0.26;-0.0;0.0;199.4;NLOS;20.00
1;126.916831;38.007421;MLR1;중형부대;;4.466836;5.00;0.00;nan;26;127.288994;38.093191;SLR9;소형부대;;5.00;0.00;nan;-9.7;-134.45;113.52;1;2000;V;34031.25;73.68;0.40;253.68;-0.63;-0.0;0.0;189.5;NLOS;20.00
2;127.053312;38.052880;MLR2;중형부대;;4.466836;5.00;0.00;nan;1;126.916831;38.007421;MLR1;중형부대;;5.00;0.00;nan;-9.4;-146.16;43.35;1;2000;V;12997.07;247.18;-0.19;67.18;0.10;-0.0;0.0;189.2;NLOS;20.00
2;127.053312;38.052880;MLR2;중형부대;;4.466836;5.00;0.00;nan;3;127.054479;38.091281;MLR3;중형부대;;5.00;0.00;nan;36.0;-100.72;14.30;1;2000;V;4286.17;1.34;2.77;181.34;-2.80;-0.0;0.0;143.7;NLOS;20.00
