27/9/2022 16:45:31

Station #;Callsign;Address;NetID;cx;Assigned Tx frequency (MHz);Assigned Rx frequency (MHz);User
1;1BigCom;대형부대;;1;1375.000000;1250.000000;
2;1BigNode;대형노드;;1;1500.000000;1375.000000;
3;1BigNode1;대형노드;;1;1375.000000;1250.000000;
4;1BigNode3;대형노드;;1;1625.000000;1500.000000;
5;1BigNode5;대형노드;;1;1750.000000;1625.000000;
6;1MidCom;중형부대;;1;1375.000000;1250.000000;
7;1SmNode;소형노드;;1;1375.000000;1250.000000;
8;1SmNode1;소형노드;;1;1625.000000;1500.000000;
9;2BigNode;대형노드;;1;1625.000000;1500.000000;
10;2BigNode2;대형노드;;1;1375.000000;1250.000000;
11;2BigNode4;대형노드;;1;1875.000000;1750.000000;
12;2BigNode7;대형노드;;1;1500.000000;1375.000000;
13;2MidCom;중형부대;;1;1375.000000;1250.000000;
14;2SmNode;소형노드;;1;1375.000000;1250.000000;
15;2SmNode0;소형노드;;1;1875.000000;1750.000000;
16;2SmNode3;소형노드;;1;1625.000000;1500.000000;
17;3BigNode;대형노드;;1;1500.000000;1375.000000;
18;3BigNode0;대형노드;;1;1875.000000;1750.000000;
19;3BigNode4;대형노드;;1;1625.000000;1500.000000;
20;3BigNode5;대형노드;;1;1750.000000;1625.000000;
21;3BigNode7;대형노드;;1;1375.000000;1250.000000;
22;3MidCom;중형부대;;1;1375.000000;1250.000000;
23;3SmNode;소형노드;;1;1375.000000;1250.000000;
24;3SmNode7;소형노드;;1;1625.000000;1500.000000;
25;4BigNode;대형노드;;1;1875.000000;1750.000000;
26;4BigNode3;대형노드;;1;1375.000000;1250.000000;
27;4BigNode5;대형노드;;1;1625.000000;1500.000000;
28;4MidCom;중형부대;;1;1375.000000;1250.000000;
29;5MidCom;중형부대;;1;1375.000000;1250.000000;
30;6MidCom;중형부대;;1;1375.000000;1250.000000;
31;7MidCom;중형부대;;1;1375.000000;1250.000000;
32;NODE01;New;;1;1375.000000;1250.000000;
33;NODE010;New;;1;1875.000000;1750.000000;
34;NODE011;New;;1;1375.000000;1250.000000;
35;NODE012;New;;1;1875.000000;1750.000000;
36;NODE015;New;;1;1875.000000;1750.000000;
37;NODE016;New;;1;1375.000000;1250.000000;
38;NODE017;New;;1;1625.000000;1500.000000;

Linked to C:\ATDI\HTZ warfare x64\BASE\XLS\XLS_523.XLSx
To create an XLSx template: save this file as C:\ATDI\HTZ warfare x64\BASE\XLS\XLS_523.CSV
