From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;2;128.722336;37.866805;MU01;MU;30.00;0.00;;10.2;-130.11;49.89;1;1429.5;V;14957.77;349.91;-1.68;169.91;1.68;0.0;0.0;160.1;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;3;128.632934;37.728938;MU02;MU;30.00;0.00;;-12.0;-152.33;35.21;1;1429.5;V;10555.30;266.96;0.52;86.96;-0.52;0.0;0.0;182.3;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;4;128.650726;37.586993;MU03;MU;30.00;0.00;;-26.1;-166.39;62.17;1;1429.5;V;18639.11;209.01;-0.21;29.01;0.21;0.0;0.0;196.4;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;7;128.923081;37.716668;MU06;MU;30.00;0.00;;51.2;-89.14;50.60;1;1429.5;V;15169.22;97.51;-2.89;277.51;2.89;0.0;0.0;119.1;LOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;13;128.721872;37.754741;NODE02;RE;30.00;0.00;;3.9;-136.42;11.84;1;1429.5;V;3549.95;310.18;5.45;130.18;-5.45;0.0;0.0;166.4;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;14;128.608608;37.619580;NODE03;RE;30.00;0.00;;8.9;-131.42;59.97;1;1429.5;V;17978.83;225.14;1.23;45.14;-1.23;0.0;0.0;161.4;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;15;128.851697;37.776427;NODE04;RE;30.00;0.00;;23.7;-116.62;33.11;1;1429.5;V;9927.39;61.93;-3.87;241.93;3.87;0.0;0.0;146.6;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;16;128.940600;37.647615;NODE05;RE;30.00;0.00;;28.7;-111.67;63.92;1;1429.5;V;19162.08;120.20;-0.44;300.20;0.44;0.0;0.0;141.7;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;17;128.608835;37.619581;NODE06;RE;30.00;0.00;;8.9;-131.41;59.92;1;1429.5;V;17964.64;225.09;1.22;45.09;-1.22;0.0;0.0;161.4;NLOS;20.00
2;128.722336;37.866805;MU01;MU;1.000000;30.00;0.00;;1;128.752487;37.734261;CC;CC;30.00;0.00;;10.2;-130.10;49.89;1;1429.5;V;14957.02;169.91;1.58;349.91;-1.58;0.0;0.0;160.1;NLOS;20.00
2;128.722336;37.866805;MU01;MU;1.000000;30.00;0.00;;3;128.632934;37.728938;MU02;MU;30.00;0.00;;-13.5;-153.78;57.43;1;1429.5;V;17218.14;207.40;1.70;27.40;-1.70;0.0;0.0;183.8;NLOS;20.00
