From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;2;128.722336;37.866805;MU01;MU;30.00;0.00;;10.2;-130.11;49.89;1;1429.5;V;14957.77;349.91;-1.68;169.91;1.68;0.0;0.0;160.1;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;3;128.632934;37.728938;MU02;MU;30.00;0.00;;-12.0;-152.33;35.21;1;1429.5;V;10555.30;266.96;0.52;86.96;-0.52;0.0;0.0;182.3;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;4;128.650726;37.586993;MU03;MU;30.00;0.00;;-26.1;-166.39;62.17;1;1429.5;V;18639.11;209.01;-0.21;29.01;0.21;0.0;0.0;196.4;NLOS;20.00
1;128.752487;37.734261;CC;CC;1.000000;30.00;0.00;;7;128.923081;37.716668;MU06;MU;30.00;0.00;;51.2;-89.14;50.60;1;1429.5;V;15169.22;97.51;-2.89;277.51;2.89;0.0;0.0;119.1;LOS;20.00
2;128.722336;37.866805;MU01;MU;1.000000;30.00;0.00;;1;128.752487;37.734261;CC;CC;30.00;0.00;;10.2;-130.10;49.89;1;1429.5;V;14957.02;169.91;1.58;349.91;-1.58;0.0;0.0;160.1;NLOS;20.00
2;128.722336;37.866805;MU01;MU;1.000000;30.00;0.00;;3;128.632934;37.728938;MU02;MU;30.00;0.00;;-13.5;-153.78;57.43;1;1429.5;V;17218.14;207.40;1.70;27.40;-1.70;0.0;0.0;183.8;NLOS;20.00
3;128.632934;37.728938;MU02;MU;1.000000;30.00;0.00;;1;128.752487;37.734261;CC;CC;30.00;0.00;;-12.0;-152.33;35.21;1;1429.5;V;10555.42;86.96;-0.59;266.96;0.59;0.0;0.0;182.3;NLOS;20.00
3;128.632934;37.728938;MU02;MU;1.000000;30.00;0.00;;2;128.722336;37.866805;MU01;MU;30.00;0.00;;-13.5;-153.80;57.44;1;1429.5;V;17219.21;27.40;-1.81;207.40;1.81;0.0;0.0;183.8;NLOS;20.00
3;128.632934;37.728938;MU02;MU;1.000000;30.00;0.00;;4;128.650726;37.586993;MU03;MU;30.00;0.00;;-15.0;-155.35;52.74;1;1429.5;V;15812.18;174.56;-0.60;354.56;0.60;0.0;0.0;185.4;NLOS;20.00
3;128.632934;37.728938;MU02;MU;1.000000;30.00;0.00;;10;128.497818;37.730763;MU09;MU;30.00;0.00;;15.8;-124.53;39.78;1;1429.5;V;11926.16;271.25;1.35;91.25;-1.35;0.0;0.0;154.5;NLOS;20.00
4;128.650726;37.586993;MU03;MU;1.000000;30.00;0.00;;1;128.752487;37.734261;CC;CC;30.00;0.00;;-26.1;-166.40;62.17;1;1429.5;V;18639.00;29.01;0.09;209.01;-0.09;0.0;0.0;196.4;NLOS;20.00
