From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.630691;37.505817;c074123;MU;89.125094;30.00;0.00;;5;127.596756;37.608521;c347570;MU;30.00;0.00;;10.7;-110.09;39.32;1;1429.5;V;11788.28;346.06;0.76;166.06;-0.76;0.0;0.0;179.1;NLOS;20.00
1;127.630691;37.505817;c074123;MU;89.125094;30.00;0.00;;15;127.579781;37.475281;c844365;MU;30.00;0.00;;52.2;-68.65;18.82;1;1429.5;V;5641.11;233.94;0.79;53.94;-0.79;0.0;0.0;137.7;NLOS;20.00
1;127.630691;37.505817;c074123;MU;89.125094;30.00;0.00;;17;127.795199;37.524308;NODE01;RE;30.00;0.00;;18.2;-122.10;48.98;1;1429.5;V;14683.38;82.72;1.50;262.72;-1.50;0.0;0.0;171.6;NLOS;20.00
2;127.815529;37.344841;c075413;MU;89.125094;30.00;0.00;;6;127.885498;37.496299;c348296;MU;30.00;0.00;;3.3;-117.54;59.78;1;1429.5;V;17922.39;20.92;0.50;200.92;-0.50;0.0;0.0;186.5;NLOS;20.00
2;127.815529;37.344841;c075413;MU;89.125094;30.00;0.00;;7;127.760826;37.209023;c388491;MU;30.00;0.00;;13.0;-107.82;52.78;1;1429.5;V;15824.13;198.57;-0.14;18.57;0.14;0.0;0.0;176.8;NLOS;20.00
2;127.815529;37.344841;c075413;MU;89.125094;30.00;0.00;;11;127.849388;37.218784;c518928;MU;30.00;0.00;;46.2;-74.61;47.72;1;1429.5;V;14305.57;168.55;0.61;348.55;-0.61;0.0;0.0;143.6;NLOS;20.00
2;127.815529;37.344841;c075413;MU;89.125094;30.00;0.00;;13;127.974724;37.381805;c647257;MU;30.00;0.00;;19.5;-101.29;49.03;1;1429.5;V;14698.02;74.45;0.20;254.45;-0.20;0.0;0.0;170.3;NLOS;20.00
2;127.815529;37.344841;c075413;MU;89.125094;30.00;0.00;;16;127.861694;37.414033;CC;CC;30.00;0.00;;8.4;-112.45;29.05;1;1429.5;V;8708.83;28.68;0.27;208.68;-0.27;0.0;0.0;181.5;NLOS;20.00
2;127.815529;37.344841;c075413;MU;89.125094;30.00;0.00;;17;127.795199;37.524308;NODE01;RE;30.00;0.00;;10.8;-129.56;66.72;1;1429.5;V;20002.72;355.58;1.05;175.58;-1.05;0.0;0.0;179.1;NLOS;20.00
3;127.825623;37.676426;c132767;MU;89.125094;30.00;0.00;;10;127.920181;37.599727;c507106;MU;30.00;0.00;;30.6;-90.24;39.74;1;1429.5;V;11914.88;136.22;1.57;316.22;-1.57;0.0;0.0;159.2;NLOS;20.00
