From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;128.620285;37.203807;c008955;MU;89.125094;30.00;0.00;;6;128.485718;37.219928;c371403;MU;30.00;0.00;;16.6;-104.22;40.24;1;1429.5;V;12064.25;278.87;0.01;98.87;-0.01;0.0;0.0;173.2;NLOS;20.00
2;128.127670;37.370837;c029292;MU;89.125094;30.00;0.00;;4;128.205002;37.414623;c056727;MU;30.00;0.00;;20.4;-100.43;27.98;1;1429.5;V;8389.38;55.10;0.59;235.10;-0.59;0.0;0.0;169.4;NLOS;20.00
2;128.127670;37.370837;c029292;MU;89.125094;30.00;0.00;;10;128.219284;37.243976;c739317;MU;30.00;0.00;;7.5;-113.29;54.19;1;1429.5;V;16246.28;150.50;0.16;330.50;-0.16;0.0;0.0;182.3;NLOS;20.00
3;128.391815;37.174028;c053737;MU;89.125094;30.00;0.00;;6;128.485718;37.219928;c371403;MU;30.00;0.00;;32.0;-88.84;32.63;1;1429.5;V;9781.57;58.98;1.35;238.98;-1.35;0.0;0.0;157.8;NLOS;20.00
3;128.391815;37.174028;c053737;MU;89.125094;30.00;0.00;;9;128.382996;37.065324;c678600;MU;30.00;0.00;;9.5;-111.30;40.33;1;1429.5;V;12090.99;184.08;-0.45;4.08;0.45;0.0;0.0;180.3;NLOS;20.00
3;128.391815;37.174028;c053737;MU;89.125094;30.00;0.00;;10;128.219284;37.243976;c739317;MU;30.00;0.00;;26.6;-94.21;57.20;1;1429.5;V;17148.31;297.28;0.55;117.28;-0.55;0.0;0.0;163.2;NLOS;20.00
3;128.391815;37.174028;c053737;MU;89.125094;30.00;0.00;;12;128.349533;37.096192;c975536;MU;30.00;0.00;;13.7;-107.10;31.42;1;1429.5;V;9420.50;203.79;0.22;23.79;-0.22;0.0;0.0;176.1;NLOS;20.00
3;128.391815;37.174028;c053737;MU;89.125094;30.00;0.00;;13;128.270966;37.205498;CC;CC;30.00;0.00;;49.0;-71.81;37.63;1;1429.5;V;11282.16;288.40;1.79;108.40;-1.79;0.0;0.0;140.8;NLOS;20.00
3;128.391815;37.174028;c053737;MU;89.125094;30.00;0.00;;14;128.385620;37.254932;MU01;MU;30.00;0.00;;52.1;-68.73;30.00;1;1429.5;V;8993.98;356.94;0.92;176.94;-0.92;0.0;0.0;137.7;NLOS;20.00
4;128.205002;37.414623;c056727;MU;89.125094;30.00;0.00;;2;128.127670;37.370837;c029292;MU;30.00;0.00;;20.4;-100.43;27.98;1;1429.5;V;8389.47;235.10;-0.64;55.10;0.64;0.0;0.0;169.4;NLOS;20.00
4;128.205002;37.414623;c056727;MU;89.125094;30.00;0.00;;10;128.219284;37.243976;c739317;MU;30.00;0.00;;3.7;-117.13;63.29;1;1429.5;V;18973.15;176.62;-0.15;356.62;0.15;0.0;0.0;186.1;NLOS;20.00
5;127.959335;37.086753;c251512;MU;89.125094;30.00;0.00;;8;128.096252;36.978111;c666600;MU;30.00;0.00;;6.1;-114.75;57.18;1;1429.5;V;17140.67;135.28;0.27;315.28;-0.27;0.0;0.0;183.8;NLOS;20.00
5;127.959335;37.086753;c251512;MU;89.125094;30.00;0.00;;11;128.155624;37.107163;c809427;MU;30.00;0.00;;2.4;-118.43;58.73;1;1429.5;V;17606.67;83.15;0.60;263.15;-0.60;0.0;0.0;187.4;NLOS;20.00
