From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.684341;37.380067;c086267;MU;89.125094;30.00;0.00;;4;127.621887;37.300641;c270431;MU;30.00;0.00;;43.6;-77.27;34.68;1;1429.5;V;10396.06;212.99;-0.35;32.99;0.35;0.0;0.0;146.3;NLOS;20.00
1;127.684341;37.380067;c086267;MU;89.125094;30.00;0.00;;5;127.620422;37.532326;c314047;MU;30.00;0.00;;12.0;-108.78;59.45;1;1429.5;V;17824.06;342.30;0.07;162.30;-0.07;0.0;0.0;177.8;NLOS;20.00
1;127.684341;37.380067;c086267;MU;89.125094;30.00;0.00;;15;127.744110;37.461646;c975403;MU;30.00;0.00;;37.3;-83.56;34.99;1;1429.5;V;10490.92;31.11;1.13;211.11;-1.13;0.0;0.0;152.6;NLOS;20.00
2;127.139931;37.597790;c215662;MU;89.125094;30.00;0.00;;14;127.137382;37.532349;c972623;MU;30.00;0.00;;59.0;-61.84;24.25;1;1429.5;V;7269.94;183.00;-0.06;3.00;0.06;0.0;0.0;130.8;NLOS;20.00
3;127.797424;37.606323;c245670;MU;89.125094;30.00;0.00;;5;127.620422;37.532326;c314047;MU;30.00;0.00;;5.1;-115.73;58.96;1;1429.5;V;17674.36;243.09;-0.23;63.09;0.23;0.0;0.0;184.7;NLOS;20.00
3;127.797424;37.606323;c245670;MU;89.125094;30.00;0.00;;9;127.710114;37.739543;c571323;MU;30.00;0.00;;1.8;-119.04;55.61;1;1429.5;V;16672.58;333.19;-0.34;153.19;0.34;0.0;0.0;188.0;NLOS;20.00
3;127.797424;37.606323;c245670;MU;89.125094;30.00;0.00;;13;127.663811;37.597125;c895141;MU;30.00;0.00;;38.1;-82.75;39.54;1;1429.5;V;11852.83;265.84;0.94;85.84;-0.94;0.0;0.0;151.7;NLOS;20.00
3;127.797424;37.606323;c245670;MU;89.125094;30.00;0.00;;15;127.744110;37.461646;c975403;MU;30.00;0.00;;4.0;-116.83;55.84;1;1429.5;V;16739.67;197.09;0.35;17.09;-0.35;0.0;0.0;185.8;NLOS;20.00
4;127.621887;37.300641;c270431;MU;89.125094;30.00;0.00;;1;127.684341;37.380067;c086267;MU;30.00;0.00;;43.6;-77.27;34.68;1;1429.5;V;10395.99;32.99;0.28;212.99;-0.28;0.0;0.0;146.3;NLOS;20.00
5;127.620422;37.532326;c314047;MU;89.125094;30.00;0.00;;1;127.684341;37.380067;c086267;MU;30.00;0.00;;12.0;-108.78;59.45;1;1429.5;V;17824.15;162.30;-0.19;342.30;0.19;0.0;0.0;177.8;NLOS;20.00
5;127.620422;37.532326;c314047;MU;89.125094;30.00;0.00;;3;127.797424;37.606323;c245670;MU;30.00;0.00;;5.1;-115.73;58.95;1;1429.5;V;17674.24;63.09;0.12;243.09;-0.12;0.0;0.0;184.7;NLOS;20.00
5;127.620422;37.532326;c314047;MU;89.125094;30.00;0.00;;10;127.556564;37.669030;c647257;MU;30.00;0.00;;7.9;-112.90;54.00;1;1429.5;V;16188.02;340.51;0.55;160.51;-0.55;0.0;0.0;181.9;NLOS;20.00
5;127.620422;37.532326;c314047;MU;89.125094;30.00;0.00;;13;127.663811;37.597125;c895141;MU;30.00;0.00;;45.0;-75.79;27.21;1;1429.5;V;8158.84;28.89;1.77;208.89;-1.77;0.0;0.0;144.8;NLOS;20.00
5;127.620422;37.532326;c314047;MU;89.125094;30.00;0.00;;15;127.744110;37.461646;c975403;MU;30.00;0.00;;23.9;-96.97;44.94;1;1429.5;V;13473.37;126.43;0.69;306.43;-0.69;0.0;0.0;166.0;NLOS;20.00
