From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.974151;37.725537;c005943;MU;89.125094;30.00;0.00;;6;128.110489;37.762120;c409802;MU;30.00;0.00;;7.5;-113.30;42.33;1;1429.5;V;12688.75;71.91;0.87;251.91;-0.87;0.0;0.0;182.3;NLOS;20.00
1;127.974151;37.725537;c005943;MU;89.125094;30.00;0.00;;14;128.155167;37.763553;c775637;MU;30.00;0.00;;5.6;-115.25;55.00;1;1429.5;V;16488.01;75.74;0.36;255.74;-0.36;0.0;0.0;184.3;NLOS;20.00
1;127.974151;37.725537;c005943;MU;89.125094;30.00;0.00;;15;127.975617;37.619117;c895786;MU;30.00;0.00;;6.5;-114.33;39.37;1;1429.5;V;11801.92;180.00;1.03;0.00;-1.03;0.0;0.0;183.3;NLOS;20.00
2;128.544205;37.631553;c109117;MU;89.125094;30.00;0.00;;8;128.441513;37.755283;c547762;MU;30.00;0.00;;7.3;-113.49;54.87;1;1429.5;V;16449.95;326.91;0.93;146.91;-0.93;0.0;0.0;182.5;NLOS;20.00
2;128.544205;37.631553;c109117;MU;89.125094;30.00;0.00;;10;128.585068;37.551880;c656567;MU;30.00;0.00;;32.6;-88.19;31.85;1;1429.5;V;9548.81;158.11;0.49;338.11;-0.49;0.0;0.0;157.2;NLOS;20.00
2;128.544205;37.631553;c109117;MU;89.125094;30.00;0.00;;13;128.572998;37.469796;c713202;MU;30.00;0.00;;56.7;-64.12;60.48;1;1429.5;V;18131.92;172.20;1.24;352.20;-1.24;0.0;0.0;133.1;NLOS;20.00
3;128.154968;37.410999;c248085;MU;89.125094;30.00;0.00;;4;128.127807;37.236710;c292043;CC;30.00;0.00;;14.8;-105.98;65.02;1;1429.5;V;19493.64;187.61;0.85;7.61;-0.85;0.0;0.0;175.0;NLOS;20.00
3;128.154968;37.410999;c248085;MU;89.125094;30.00;0.00;;11;128.220688;37.238491;c675908;MU;30.00;0.00;;12.2;-108.62;66.71;1;1429.5;V;19997.96;163.56;0.29;343.56;-0.29;0.0;0.0;177.6;NLOS;20.00
3;128.154968;37.410999;c248085;MU;89.125094;30.00;0.00;;19;128.140625;37.571655;CC;CC;30.00;0.00;;9.0;-111.83;59.62;1;1429.5;V;17874.63;356.47;-0.53;176.47;0.53;0.0;0.0;180.8;NLOS;20.00
4;128.127807;37.236710;c292043;CC;89.125094;30.00;0.00;;3;128.154968;37.410999;c248085;MU;30.00;0.00;;14.8;-105.98;65.03;1;1429.5;V;19494.36;7.61;-0.98;187.61;0.98;0.0;0.0;175.0;NLOS;20.00
