Station #;Callsign;Address;Longitude 4DEC;Latitude 4DEC;Status
1;c086267;MU;127.684341;37.380067;Activated
2;c215662;MU;127.139931;37.597790;Activated
3;c245670;MU;127.797424;37.606323;Activated
4;c270431;MU;127.621887;37.300641;Activated
5;c314047;MU;127.620422;37.532326;Activated
6;c396394;MU;127.311737;37.824298;Activated
7;c410633;MU;127.385094;37.406288;Activated
8;c567988;MU;127.442970;37.897056;Activated
9;c571323;MU;127.710114;37.739543;Activated
10;c647257;MU;127.556564;37.669030;Activated
11;c694465;MU;127.333206;37.489823;Activated
12;c784094;MU;127.231476;37.319836;Activated
13;c895141;MU;127.663811;37.597125;Activated
14;c972623;MU;127.137382;37.532349;Activated
15;c975403;MU;127.744110;37.461646;Activated
16;CC;CC;127.405067;37.579503;Activated
